year,name,total_ticks_collected,tick_population_density,ticks_tested,b_burgdorferi_percent,county_centroid,lyme_count,lyme_rate,abbrev,gnis_id,fips_code,swis,nysp_zone,pop1990,pop2000,pop2010,pop2020,dos_ll,dosll_date,nyc,calc_sq_mi,datemod,shape_leng,shape_area,geometry,jan_19,feb_19,mar_19,apr_19,may_19,jun_19,jul_19,aug_19,sep_19,oct_19,nov_19,dec_19,jan_20,feb_20,mar_20,apr_20,may_20,jun_20,jul_20,aug_20,sep_20,oct_20,nov_20,dec_20,jan_21,feb_21,mar_21,apr_21,may_21,jun_21,jul_21,aug_21,sep_21,oct_21,nov_21,dec_21,jan_22,feb_22,mar_22,apr_22,may_22,jun_22,jul_22,aug_22,sep_22,oct_22,nov_22,dec_22
2021,Seneca,57,52,50,56,"(42.7822943, -76.827088)",56,54.8,SENE,974147,36099,450000,Central,33683,33342,35251,33814,NA,NA,N,390.35722,NA,162301.31,1011020552,MULTIPOLYGON (((360411.1 47...,22,26.8,31.4,45.2,55.2,64.2,72.3,67.9,62.2,51.3,35.1,29.7,30.1,28.2,39.3,41.7,55.5,67.2,73.2,70.7,61.5,51,44.7,31.8,27.2,23.5,37.9,46.5,56.2,69.1,68.9,72,63.5,56.8,39.6,36,19.1,26,36.3,45.3,59.8,65.9,71.3,71,61.8,50.5,43.2,30.4
2021,Jefferson,50,27.8,50,78,"(43.9953714, -76.0535218)",170,49.7,JEFF,974121,36045,220000,Central,110943,111738,116229,116721,NA,NA,N,1753.08298,11/6/18,307750.57,4540464065,MULTIPOLYGON (((436294.5 49...,15.9,22.1,27.5,43,52.8,62.7,71.5,67,59.7,50,31.5,25.4,26.1,24,36,40.9,53.7,65.5,70.7,68.7,59.3,47.8,42.4,29,21.7,19,34.1,45.8,54.6,68,67.2,71.4,61.3,54.6,37.3,31.2,10.6,21.5,31.9,43.8,58.8,64,69.7,70.3,60.4,49.6,40.4,29.2
2021,Hamilton,4,0.78,4,25,"(43.6578786, -74.5024556)",3,21.4,HAMI,974119,36041,200000,East,5279,5379,4836,5107,NA,NA,N,1806.21213,11/1/18,327370.62,4678067941,MULTIPOLYGON (((563263.6 48...,12.8,17.7,23.3,39,49.9,59,66.7,61.8,55.1,45.4,27.9,22,22.4,20.5,30.7,37.3,50.7,60.2,72.6,64.1,54.9,44,36,24.7,18.3,17.2,28,41.6,51.1,63,63,66.2,57.2,50.1,31.8,25.9,9.3,17.6,27.4,39.2,54.7,59.2,64.6,65.9,56.2,45,36.6,25
2021,Saratoga,598,80.63,174,65.5,"(43.1061353, -73.8553872)",494,70.8,SARA,974143,36091,410000,East,181276,200635,219607,235509,NA,NA,N,843.59404,11/10/17,244735.85,2184898537,MULTIPOLYGON (((594734.2 47...,20,23.7,30.6,45.8,55.4,64.7,72.4,67.8,60.2,50.3,33.2,26.4,27.6,26.7,37.5,43,55.7,66.8,72.9,69.2,59.8,49.3,41,29.9,23.5,22.4,34.9,47,56.5,67.9,68.6,71.2,62.5,54.4,36.8,32.7,16.8,24.4,33.8,45.1,60,65,71.7,71.7,60.9,50.1,41.4,29.4
2021,Erie,116,113.6,50,40,"(42.752759, -78.7781922)",505,18.1,ERIE,974113,36029,140000,West,968532,950265,919040,954236,NA,NA,N,1221.97002,10/30/17,327906.75,3164887818,MULTIPOLYGON (((204074.3 47...,21.9,26.3,30.5,44.6,54.6,64.1,72,68.5,63.6,52.1,34.7,31.7,31.1,28.2,40.3,42.9,55.2,66.6,77,70.2,61.5,50.7,44.9,32.1,27.7,22.8,38.3,46.9,55.2,68.9,69.3,72.7,64,57.6,39.7,36.4,19.6,26.2,36.6,44.5,59.8,66,70.6,70.2,62.5,50.3,42.6,30.8
2021,Washington,500,89.1,205,59,"(43.3123766, -73.4394282)",323,175.9,WASH,974155,36115,530000,East,59330,61042,63216,61302,NA,NA,N,845.85571,11/10/17,302359,2190756227,MULTIPOLYGON (((630545.5 48...,20,23.6,30.9,45,55.2,64.1,72.2,67.5,59.4,50.1,33,26.3,26.9,25.5,36.6,42.5,55.4,66.1,70.9,68.6,59.3,49.4,40.4,29.7,23.1,21.9,34.4,46.5,56,68,68.1,71,61.7,54,36.6,32.4,16.4,23.7,33.5,44.6,59.7,64.5,71,71.3,60.4,49.5,41.2,28.8
2021,Tompkins,54,18.6,50,46,"(42.4532811, -76.4737116)",405,130.3,TOMP,974152,36109,500000,Central,94097,96501,101564,105740,NA,NA,N,491.56956,11/28/18,175483.42,1273159304,MULTIPOLYGON (((380383 4720...,20.5,26.1,29.9,44.8,54.9,63.1,71.1,66.1,60.4,50,33.6,28,28.6,27.2,37.9,40.5,54.2,65,73.8,69.3,59.7,49.7,42.5,30,25.2,22.4,36.1,44.9,54.6,67.3,68,70.4,62.2,55.6,37.1,33.9,16.8,24.6,34.6,44.1,58.5,63.8,70,69.5,60.6,48.6,41.4,28.6
2021,Orleans,19,18.6,19,42.1,"(43.209007, -78.254897)",10,8.3,ORLE,974135,36073,340000,West,41846,44171,42883,40343,NA,NA,N,812.16899,2/12/18,186740.28,2103508020,MULTIPOLYGON (((256280.7 47...,20.2,24.9,30.7,44.4,54.3,64.4,72.8,69.2,63.6,52,34,30.8,29.6,27,39.2,41.7,54.9,67.2,75.9,70.8,62.2,50.9,45.9,32.5,27.4,21.8,38.1,47,55.8,69.8,69.4,73.3,64,57,40.4,36.5,19,25.7,36.5,44.8,59.8,67.1,71.6,71.3,62.6,50.9,42.8,31.4
2021,Onondaga,139,26.8,101,41.6,"(43.0065299, -76.1961167)",315,22.6,ONON,974132,36067,310000,Central,468973,458336,467026,476516,NA,NA,N,805.02218,7/18/18,235290.72,2084997862,MULTIPOLYGON (((405851 4788...,20.3,25.5,30.7,45.3,54.7,63.4,71.8,67.3,61.6,51.2,34.1,28.5,28.9,27.1,38.1,41.7,55,66.7,73,70.5,61.2,50.1,43.5,31.3,25.3,23,36.4,46.4,56,69,69,72.2,63.2,56.6,38.8,35.2,17.2,25.2,35,44.3,59.6,64.3,70.9,71.3,61.6,50.3,42.7,29.9
2021,Columbia,477,76.33,208,53.8,"(42.2477286, -73.6268046)",812,446.8,COLU,974109,36021,100000,East,62982,63094,63096,61570,NA,NA,N,647.9075,1/22/18,184324.65,1678072717,MULTIPOLYGON (((633818.3 47...,23.7,27.3,33.2,48.6,57.2,66,73.5,69.5,61.8,52.4,35.9,29.2,30.8,31.6,40.6,44.4,57.3,67.9,72.1,71.2,62,52.5,43.7,32.3,26.5,25.9,37.6,49,58,69.6,71,72.5,64.4,56.3,39.5,35.9,20.6,27.8,36.8,47.3,60.9,66.2,73,73.4,62.5,51.4,43.4,31.3
2021,St. Lawrence,97,88.2,50,46,"(44.4881125, -75.074311)",268,82.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTIPOLYGON EMPTY,13.1,19,25.9,41.2,52,62,70.5,65.5,57.8,48.1,29.5,23.9,23.5,21.8,34.2,39.9,53.3,64.7,78.2,67.1,57.5,46.3,40,27.6,19.7,17.6,32.2,45.2,54.2,66.6,65.6,70.2,59.8,52.5,35.2,28.3,8.6,19.1,30,42.6,58,63,68.3,68.7,58.7,48.4,38.9,28
